codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
350498;GUARNICAO TAMPA VALV CB TWISTER 250 16... ED VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TWISTER 250;27.53;64;10;DISPONIVEL
350500;GUARNICAO TAMPA VALV PCX 150 (13-) VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;PCX 150;10.72;63;8;DISPONIVEL
350588;GUARNICAO TAMPA VALV YBR 125/ XTZ125 MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;YBR 125 / XTZ125;0.66;60;18;DISPONIVEL
351002;GUARDA PO BENG XTZ 125 03-16 (PAR) DEMTEC;GUARDA PO BENG;OUTROS;DEMTEC;XTZ 125;17.07;27;19;DISPONIVEL
351005;GUARDA PO BENG FALCON 99/ XRE 300/ HORNET 04-08 (PAR) DEMTEC;GUARDA PO BENG;OUTROS;DEMTEC;XRE 300 / FALCON 99;8.35;62;5;DISPONIVEL
351015;GUARDA PO BENG TWIST/ CB 300-500/ FAZER 250 (PAR) DEMTEC;GUARDA PO BENG TWIST/;OUTROS;DEMTEC;FAZER 250 / CB 300;8.35;4;13;ESTOQUE BAIXO
351016;GUARDA PO BENG TITAN 150/ BROS 125-150-160/PCX150 (PAR) DEMTEC;GUARDA PO BENG;OUTROS;DEMTEC;TITAN 150 / BROS 125 / PCX150;4.55;8;20;ESTOQUE BAIXO
351017;GUARDA PO BENG TWIST/ CB 300-500/ FAZER250 (PAR) VEDA;GUARDA PO BENG TWIST/;OUTROS;VEDAMOTORS;FAZER250 / CB 300;13.57;51;6;DISPONIVEL
351018;GUARDA PO BENG TITAN 150/ BROS 125-150-160/PCX150/ELITE (PAR) V;GUARDA PO BENG;OUTROS;VEDAMOTORS;TITAN 150 / BROS 125 / PCX150;9.60;57;3;DISPONIVEL
351020;GUARDA PO BENG FALCON 99/ XRE 300/ HORNET 04-08/CB400 (PAR) VED;GUARDA PO BENG;OUTROS;VEDAMOTORS;XRE 300 / CB400 / FALCON 99;48.38;94;9;DISPONIVEL
351021;GUARDA PO BENG TITAN 125 00/ BIZ 125/ POP/WEB 100 (PAR) VEDA;GUARDA PO BENG;OUTROS;VEDAMOTORS;TITAN 125 / BIZ 125;9.05;62;15;DISPONIVEL
351022;GUARDA PO BENG TWIST/ CB 300-500/ FAZER250 (PAR) MOTOBOR;GUARDA PO BENG TWIST/;OUTROS;MOTOBOR;FAZER250 / CB 300;5.51;100;4;DISPONIVEL
351023;GUARDA PO BENG TITAN 125 00/ BIZ 125/ POP/WEB 100 (PAR) MOTOBO;GUARDA PO BENG;OUTROS;MOTOBOR;TITAN 125 / BIZ 125;10.40;92;10;DISPONIVEL
351025;GUARDA PO BENG TITAN 125 00/ BIZ 125/ POP/WEB 100 (PAR) DEMTEC;GUARDA PO BENG;OUTROS;DEMTEC;TITAN 125 / BIZ 125;3.07;17;4;DISPONIVEL
351040;GUARDA PO BENG YBR 125 00-08 / FACTOR 125 (PAR) MOTOBOR;GUARDA PO BENG;OUTROS;MOTOBOR;FACTOR 125 / YBR 125;5.26;58;20;DISPONIVEL
351041;GUARDA PO BENG FALCON 99/ XRE 300/ HORNET 04-08 (PAR) MOTOBOR;GUARDA PO BENG;OUTROS;MOTOBOR;XRE 300 / FALCON 99;5.47;80;17;DISPONIVEL
355013;GUIA CABO ACO TITAN 125-150 CROM MOTOBOR;GUIA CABO ACO;CABOS;MOTOBOR;TITAN 125;4.14;18;9;DISPONIVEL
355018;GUIA CABO INJ TITAN 125-150 ROSCA ACO MOTOBOR;GUIA CABO INJ;CABOS;MOTOBOR;TITAN 125;7.26;22;15;DISPONIVEL
355049;GUIA CORRENTE TRANS CB TWISTER 250/CB TWISTER 300 23... DEMTEC;GUIA CORRENTE TRANS;RELAÇÃO/TRANSMISSÃO;DEMTEC;TWISTER 250 / TWISTER 300;16.82;28;12;DISPONIVEL
355058;KIT TENSOR/GUIA CORRENTE COM BIZ 100/ POP VALFLEX;KIT TENSOR/GUIA CORRENTE COM;RELAÇÃO/TRANSMISSÃO;VALFLEX;BIZ 100;20.63;31;20;DISPONIVEL
355064;GUIA CORRENTE TRANS FAZER 250 18... DEMTEC;GUIA CORRENTE TRANS;RELAÇÃO/TRANSMISSÃO;DEMTEC;FAZER 250;33.48;62;9;DISPONIVEL
355066;GUIA CORRENTE TRANS BROS 125-150-160 DEMTEC;GUIA CORRENTE TRANS;RELAÇÃO/TRANSMISSÃO;DEMTEC;BROS 125;22.40;35;7;DISPONIVEL
355067;GUIA CORRENTE TRANS CB 300R DEMTEC;GUIA CORRENTE TRANS;RELAÇÃO/TRANSMISSÃO;DEMTEC;NÃO IDENTIFICADO;25.45;58;16;DISPONIVEL
355068;GUIA CORRENTE TRANS FALCON 400 DEMTEC;GUIA CORRENTE TRANS;RELAÇÃO/TRANSMISSÃO;DEMTEC;FALCON 400;20.82;81;8;DISPONIVEL
